SSID,BSSID,Channel,Frequency,Signal (dBm),PHY Type
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-76,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-77,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-86,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-85,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-84,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-78,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-79,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-80,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-83,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-81,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:12,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:13,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:10,149,5745,-82,5
<hidden>,7c:57:3c:17:c7:11,149,5745,-82,5
